Energy,Ion_1,Ion_2,Ion_3,Ion_4,Ion_5,Ion_6,Ion_7,ND_1,ND_2,ND_3,EA,Nu_1,Nu_2,Nu_3,Nu_4,J3,J4,Lya,Lyb,Lyg,Ha,Hb,Hg,Hd,CHG,CIII,CI,CIV,Elastic,Inelastic,RotVib,Ion,ND,Total_a,Total
1,0,0,0,0,0,0,0,0,0,0,0,3.76E-16,7.35E-16,1.37E-15,1.96E-15,1.48E-15,7.44E-17,0,0,0,0,0,0,0,0,0,0,0,1.50E-14,5.99E-15,5.99E-15,0.00E+00,0.00E+00,2.10E-14,2.10E-14
1.264855217,0,0,0,0,0,0,0,0,0,0,0,3.17E-16,7.00E-16,1.22E-15,1.81E-15,1.08E-15,8.70E-17,0,0,0,0,0,0,0,0,0,0,0,2.12E-14,5.22E-15,5.22E-15,0.00E+00,0.00E+00,2.64E-14,2.64E-14
1.59985872,0,0,0,0,0,0,0,0,0,0,0,2.93E-16,6.94E-16,1.10E-15,1.66E-15,7.20E-16,1.06E-16,0,0,0,0,0,0,0,0,0,0,0,3.21E-14,4.57E-15,4.57E-15,0.00E+00,0.00E+00,3.66E-14,3.66E-14
2.023589648,0,0,0,0,0,0,0,0,0,0,0,3.35E-16,7.42E-16,1.02E-15,1.53E-15,4.80E-16,1.59E-16,0,0,0,0,0,0,0,0,0,0,0,5.00E-14,4.27E-15,4.27E-15,0.00E+00,0.00E+00,5.43E-14,5.43E-14
2.559547923,0,0,0,0,0,0,0,0,0,0,0,4.91E-16,8.88E-16,1.06E-15,1.44E-15,4.80E-16,3.15E-16,0,0,0,0,0,0,0,0,0,0,0,7.79E-14,4.68E-15,4.68E-15,0.00E+00,0.00E+00,8.25E-14,8.25E-14
3.237457543,0,0,0,0,0,0,0,0,0,0,0,8.24E-16,1.19E-15,1.31E-15,1.45E-15,8.86E-16,7.12E-16,0,0,0,0,0,0,0,0,0,0,0,1.17E-13,6.38E-15,6.38E-15,0.00E+00,0.00E+00,1.24E-13,1.24E-13
4.094915062,0,0,0,0,0,0,0,0,0,0,0,1.41E-15,1.75E-15,1.90E-15,1.63E-15,1.89E-15,1.59E-15,0,0,0,0,0,0,0,0,0,0,0,1.65E-13,1.02E-14,1.02E-14,0.00E+00,0.00E+00,1.76E-13,1.76E-13
5.179474679,0,0,0,0,0,0,0,0,0,0,0,2.26E-15,2.65E-15,3.03E-15,2.06E-15,3.63E-15,3.28E-15,0,0,0,0,0,0,0,0,0,0,0,2.11E-13,1.69E-14,1.69E-14,0.00E+00,0.00E+00,2.28E-13,2.28E-13
6.551285569,0,0,0,0,0,0,0,0,0,0,5.17E-18,3.20E-15,3.96E-15,4.80E-15,3.12E-15,5.91E-15,5.85E-15,0,0,0,0,0,0,0,0,0,0,0,2.39E-13,2.68E-14,2.68E-14,0.00E+00,0.00E+00,2.65E-13,2.65E-13
8.286427729,0,0,0,0,0,0,0,1.49E-16,4.94E-16,0,8.55E-17,3.28E-15,4.49E-15,5.74E-15,3.99E-15,7.60E-15,9.91E-15,0,0,0,0,0,0,0,0,0,0,0,2.42E-13,3.57E-14,3.50E-14,0.00E+00,6.42E-16,2.78E-13,2.78E-13
